ID,replicate,date,length,spore_yield,infection_status
2C,1,11/6/21,NA,NA,NA
2C,2,11/4/21,73.00,8750.00,1
2C,3,11/4/21,NA,8437.50,1
2C,4,11/4/21,67.00,7812.50,1
2C,5,11/8/21,74.00,0.00,0
2C,6,11/4/21,74.00,15312.50,1
2C,7,11/6/21,74.00,NA,1
2C,8,11/4/21,74.00,312.50,1
2C,9,11/5/21,74.00,40000.00,1
2C,10,11/5/21,69.00,21562.50,1
1C,1,11/6/21,64.00,1250.00,1
1C,2,11/8/21,62.00,0.00,0
1C,3,11/7/21,65.00,1875.00,1
1C,4,11/8/21,67.00,0.00,0
1C,5,11/8/21,62.00,0.00,0
1C,6,11/6/21,57.00,937.50,1
1C,7,11/8/21,52.00,0.00,0
1C,8,11/8/21,63.00,0.00,0
1C,9,11/8/21,58.00,0.00,0
1C,10,11/8/21,47.00,0.00,0
2B,1,11/7/21,84.00,85312.50,1
2B,2,11/7/21,83.00,76250.00,1
2B,3,11/9/21,86.00,97187.50,1
2B,4,11/8/21,85.00,87187.50,1
2B,5,11/9/21,74.00,6250.00,1
2B,6,11/9/21,73.00,1562.50,1
2B,7,11/6/21,82.00,83750.00,1
2B,8,11/9/21,NA,113437.50,1
2B,9,11/7/21,NA,4375.00,1
2B,10,11/8/21,80.00,45312.50,1
1B,1,11/7/21,64.00,312.50,1
1B,2,11/9/21,65.00,625.00,1
1B,3,11/9/21,65.00,937.50,1
1B,4,11/10/21,67.00,2812.50,1
1B,5,11/12/21,65.00,0.00,0
1B,6,11/9/21,68.00,937.50,1
1B,7,NA,NA,NA,NA
1B,8,11/11/21,68.00,312.50,1
1B,9,11/12/21,71.00,0.00,0
1B,10,11/7/21,68.00,0.00,0
3C,1,11/12/21,77.00,1875.00,1
3C,2,11/3/21,NA,31875.00,1
3C,3,11/3/21,NA,62500.00,1
3C,4,11/3/21,NA,10312.50,1
3C,5,11/3/21,NA,53437.50,1
3C,6,NA,NA,NA,NA
3C,7,11/3/21,NA,66875.00,1
3C,8,11/8/21,68.00,0.00,0
3C,9,11/4/21,77.00,NA,1
3C,10,11/3/21,NA,36562.50,1
1A,1,11/14/21,66.00,,
1A,2,11/12/21,63.00,0.00,0
1A,3,11/13/21,68.00,,
1A,4,11/10/21,71.00,5937.50,1
1A,5,11/14/21,67.00,,
1A,6,11/9/21,70.00,0.00,0
1A,7,11/9/21,64.00,0.00,0
1A,8,11/10/21,68.00,3125.00,1
1A,9,NA,NA,NA,NA
1A,10,,,,
2A,1,,,,
2A,2,11/7/21,82.00,88437.50,1
2A,3,11/10/21,NA,100000.00,1
2A,4,,,,
2A,5,,,,
2A,6,11/11/21,79.00,116875.00,1
2A,7,11/12/21,74.00,3750.00,1
2A,8,NA,NA,NA,NA
2A,9,11/12/21,78.00,18437.50,1
2A,10,NA,NA,NA,NA
3A,1,,,,
3A,2,NA,NA,NA,NA
3A,3,11/7/21,83.00,159375.00,1
3A,4,NA,NA,NA,NA
3A,5,11/7/21,91.00,188125.00,1
3A,6,11/7/21,88.00,177187.50,1
3A,7,11/4/21,84.00,85625.00,1
3A,8,11/4/21,86.00,91875.00,1
3A,9,11/4/21,90.00,130625.00,1
3A,10,11/3/21,78.00,120625.00,1
3B,1,11/3/21,NA,97187.50,1
3B,2,11/9/21,92.00,170937.50,1
3B,3,11/3/21,NA,61562.50,1
3B,4,11/5/21,89.00,192187.50,1
3B,5,11/4/21,84.00,81562.50,1
3B,6,11/5/21,87.00,145312.50,1
3B,7,11/5/21,85.00,145312.50,1
3B,8,,,,
3B,9,11/7/21,87.00,243437.50,1
3B,10,11/5/21,87.00,113750.00,1