"","X","index","func","f.0.hat","alpha","u","w","length","time","loglik"
"1",1,"1 A45","con.f.con.u",13.3639678744165,NA,0.000614474349295974,NA,1.211312278,0.361805556,-28.0959467515298
"2",2,"1 Bris.10","con.f.con.u",8.771698497748,NA,0.000343254565507814,NA,1.13878509083929,0.353497023589286,-20.4223257036362
"3",3,"1 Bris.112","con.f.con.u",9.37369512612931,NA,0.000434569666665484,NA,1.10486690375,0.354166667,-8.42051294944857
"4",4,"1 Bris.6","con.f.con.u",5.33965385333781,NA,0.00170669615834039,NA,1.22824559792593,0.354861111,4.25358434440343
"5",5,"1 Cback.256","con.f.con.u",9.01487289524729,NA,0.00169471205771093,NA,0.9976276991,0.377777778,-13.1569859881435
"6",6,"1 Dog.4","con.f.con.u",6.54788686901887,NA,0.00107339687912355,NA,1.183708647,0.36875,0.531533480335117
"7",7,"1 Mid.276","con.f.con.u",9.73007500663287,NA,0.00123502459250049,NA,0.989833732898305,0.365972222,-20.5796275325995
"8",8,"1 Mid.277","con.f.con.u",12.2915814791304,NA,0.00090648669586965,NA,1.05608244710169,0.373611111,-26.1703396300611
"9",9,"1 War.5","con.f.con.u",12.0416216313504,NA,0.000352610998567416,NA,1.18723608884211,0.377777778,-13.244672637707
"10",10,"2 A45","con.f.con.u",11.4638972219953,NA,0.000320693368885695,NA,1.2272002925,0.359722222,-1.59004481456407
"11",11,"2 A48","con.f.con.u",9.80261422051262,NA,0.000463829932347803,NA,1.11175550446154,0.35625,0.0109616233392558
"12",12,"2 Bris.10","con.f.con.u",6.37288347402801,NA,0.000272324254229708,NA,1.20990299162264,0.357638889,7.40565397715056
"13",13,"2 Dog.4","con.f.con.u",8.17946208264912,NA,0.000447329014670067,NA,1.16234332106667,0.359722222,8.44706654350614
"14",14,"2 Is.278","con.f.con.u",5.15133001451467,NA,0.000654924738389045,NA,1.06060503266667,0.363888889,12.0034797541389
"15",15,"2 Mid.263","con.f.con.u",8.80155605008477,NA,0.000339868740515576,NA,1.0843355754,0.357638889,22.1820216117838
"16",16,"2 Mid.273","con.f.con.u",7.85508805742698,NA,0.000386557395547442,NA,1.12794592922034,0.361111111,-0.0745750774443081
"17",17,"3 A43","con.f.con.u",5.84261158283334,NA,0.000636139396034596,NA,1.44190487859649,0.369444444,-6.69960911597206
"18",18,"3 A45","con.f.con.u",7.1621956616058,NA,0.000843749349415339,NA,1.5157437575,0.363194444,-8.70442370086808
"19",19,"3 Bris.10","con.f.con.u",6.38212869852397,NA,0.000203693219704552,NA,1.36795572035294,0.377083333,11.6951427264894
"20",20,"3 Bris.111","con.f.con.u",5.96317216231855,NA,0.000191312744557304,NA,1.45963506488136,0.376388889,0.637592886082151
"21",21,"3 Bris.112","con.f.con.u",8.08055650850359,NA,0.000438346335295507,NA,1.47207530206897,0.373611111,-0.288878640501739
"22",22,"3 Bris.6","con.f.con.u",9.72830612196194,NA,0.000707431273067536,NA,1.4005623242069,0.371527778,-22.6359672996342
"23",23,"3 Cback.276","con.f.con.u",8.47926502172432,NA,0.000715975233932707,NA,1.35238527152542,0.4,-19.8134339829484
"24",24,"3 Mid.244","con.f.con.u",7.7805467462359,NA,0.00036937685915963,NA,1.41194354721951,0.388888889,-0.86224948512702
"25",25,"3 Mid.252","con.f.con.u",8.0028373631676,NA,0.000237095362624384,NA,1.36394412,0.39375,27.2924767743891
"26",26,"3 Mid.281","con.f.con.u",7.07805152764705,NA,0.000107268352435559,NA,1.44680455536842,0.392361111,3.88213030291378
"27",27,"3 War.5","con.f.con.u",7.85442365640812,NA,0.000222630918444576,NA,1.37220044033898,0.402777778,-4.33870758442116
"28",1,"1 A45","exp.f.con.u",16.7804242530499,-0.0015125981131643,0.000791028101692339,NA,1.211312278,0.361805556,-17.0755009825354
"29",2,"1 Bris.10","exp.f.con.u",14.126176820429,-0.00284860834639712,0.00052326840657568,NA,1.13878509083929,0.353497023589286,-2.0735646379658
"30",3,"1 Bris.112","exp.f.con.u",12.9971738657228,-0.00224952977596908,0.000626968037267867,NA,1.10486690375,0.354166667,7.09436912652191
"31",4,"1 Bris.6","exp.f.con.u",5.96668113739741,-0.000657148666070282,0.00190449044990839,NA,1.22824559792593,0.354861111,6.16080909321905
"32",5,"1 Cback.256","exp.f.con.u",11.9449724176656,-0.00233041637440079,0.00224527254429675,NA,0.9976276991,0.377777778,-2.16639499001606
"33",6,"1 Dog.4","exp.f.con.u",7.26058855122395,-0.000569704076318444,0.0011572990689545,NA,1.183708647,0.36875,1.09226490210097
"34",7,"1 Mid.276","exp.f.con.u",15.1230200969576,-0.00756144245630587,0.00258675678172671,NA,0.989833732898305,0.365972222,-4.36883205743018
"35",8,"1 Mid.277","exp.f.con.u",18.4086061903241,-0.00254957201601065,0.00113175316342109,NA,1.05608244710169,0.373611111,-6.07235393923233
"36",9,"1 War.5","exp.f.con.u",14.8284394040888,-0.00119301597657271,0.000415245547759189,NA,1.18723608884211,0.377777778,-2.49762872219396
"37",10,"2 A45","exp.f.con.u",14.6305044760371,-0.00110689085320462,0.00037349274026237,NA,1.2272002925,0.359722222,13.4327111396102
"38",11,"2 A48","exp.f.con.u",13.3283822384635,-0.00189769254204092,0.000606964057616189,NA,1.11175550446154,0.35625,8.33816802179134
"39",12,"2 Bris.10","exp.f.con.u",13.3795234246174,-0.00777968196903037,0.00058097536387602,NA,1.20990299162264,0.357638889,38.9931514605414
"40",13,"2 Dog.4","exp.f.con.u",11.4502828549658,-0.00189185792633719,0.000608488520695739,NA,1.16234332106667,0.359722222,24.2976812210838
"41",14,"2 Is.278","exp.f.con.u",11.8867271604193,-0.0114742689758358,0.00101184493115333,NA,1.06060503266667,0.363888889,37.5797768272527
"42",15,"2 Mid.263","exp.f.con.u",12.3777466001967,-0.0021262879164072,0.000436224093433037,NA,1.0843355754,0.357638889,42.2605480119057
"43",16,"2 Mid.273","exp.f.con.u",11.5570680702535,-0.00249111715673774,0.000571481784841873,NA,1.12794592922034,0.361111111,9.91334286264721
"44",17,"3 A43","exp.f.con.u",7.79023940743399,-0.000954929226334517,0.000715238645562059,NA,1.44190487859649,0.369444444,-0.298506723812384
"45",18,"3 A45","exp.f.con.u",7.17747526022459,-6.48090787268953e-06,0.000844524797381969,NA,1.5157437575,0.363194444,-8.70400715480812
"46",19,"3 Bris.10","exp.f.con.u",8.56031762849699,-0.0013198420723798,0.000278281880908062,NA,1.36795572035294,0.377083333,29.2356958854428
"47",20,"3 Bris.111","exp.f.con.u",8.58542673879943,-0.00140610006158119,0.000265744863822597,NA,1.45963506488136,0.376388889,15.3896151639706
"48",21,"3 Bris.112","exp.f.con.u",9.08467024938112,-0.000397526068841954,0.000464879934993698,NA,1.47207530206897,0.373611111,2.3729941151116
"49",22,"3 Bris.6","exp.f.con.u",12.0640199402655,-0.000941259066679603,0.00083945467140635,NA,1.4005623242069,0.371527778,-15.2772740538539
"50",23,"3 Cback.276","exp.f.con.u",11.0949517708689,-0.00116754346931095,0.000859624026323603,NA,1.35238527152542,0.4,-9.54429940619331
"51",24,"3 Mid.244","exp.f.con.u",9.49315739223078,-0.000680230976883625,0.000429534031170196,NA,1.41194354721951,0.388888889,5.14677731090548
"52",25,"3 Mid.252","exp.f.con.u",7.65598052000058,0.000171303110089011,0.000231089432450882,NA,1.36394412,0.39375,27.8220209511785
"53",26,"3 Mid.281","exp.f.con.u",9.63153234977592,-0.00117336956861471,0.00014047137985655,NA,1.44680455536842,0.392361111,16.8548342514076
"54",27,"3 War.5","exp.f.con.u",10.1672728409279,-0.0011062944151146,0.000275315725859124,NA,1.37220044033898,0.402777778,6.05930923478478
"55",1,"1 A45","con.f.exp.u",13.3513916948474,NA,0.00393674903253211,-0.000524296409854908,1.211312278,0.361805556,-19.0417136810372
"56",2,"1 Bris.10","con.f.exp.u",8.76393200901016,NA,0.00117620502378252,-0.000474606703464009,1.13878509083929,0.353497023589286,-18.5390945916493
"57",3,"1 Bris.112","con.f.exp.u",9.36892414684877,NA,0.0013637945403291,-0.000415804866816251,1.10486690375,0.354166667,-7.03012639923032
"58",4,"1 Bris.6","con.f.exp.u",5.34222348251331,NA,0.00378489128874282,-0.000455433159882354,1.22824559792593,0.354861111,5.6106891322896
"59",5,"1 Cback.256","con.f.exp.u",9.00808369019116,NA,0.00647476552282614,-0.000663258948724891,0.9976276991,0.377777778,-7.14412737680728
"60",6,"1 Dog.4","con.f.exp.u",6.54943397214263,NA,0.000617113882187635,0.00024602436360581,1.183708647,0.36875,0.751095278660882
"61",7,"1 Mid.276","con.f.exp.u",9.72811478823166,NA,0.00264607571091019,-0.000345050586327299,0.989833732898305,0.365972222,-19.1103746464969
"62",8,"1 Mid.277","con.f.exp.u",12.3076637222929,NA,0.00210036893125692,-0.000283935803969881,1.05608244710169,0.373611111,-24.4046442679011
"63",9,"1 War.5","con.f.exp.u",12.0413130514863,NA,0.000448913189537885,-6.06335699165757e-05,1.18723608884211,0.377777778,-13.1729116565147
"64",10,"2 A45","con.f.exp.u",11.4696131795982,NA,0.00137960105856389,-0.000390662016780287,1.2272002925,0.359722222,1.57946118511775
"65",11,"2 A48","con.f.exp.u",9.80820222848537,NA,0.00166715906008026,-0.000456141996114981,1.11175550446154,0.35625,1.51257892779962
"66",12,"2 Bris.10","con.f.exp.u",6.37529327251918,NA,4.16071286185586e-05,0.000646906561185578,1.20990299162264,0.357638889,8.65139637521663
"67",13,"2 Dog.4","con.f.exp.u",8.17775317040229,NA,0.0014276991677961,-0.000448773680112767,1.16234332106667,0.359722222,10.2216777384054
"68",14,"2 Is.278","con.f.exp.u",5.12474382503284,NA,0.0013375836629497,-0.000476639468719238,1.06060503266667,0.363888889,12.4113323620049
"69",15,"2 Mid.263","con.f.exp.u",8.80193521395471,NA,0.000856446988208541,-0.000392633417869715,1.0843355754,0.357638889,22.957272768389
"70",16,"2 Mid.273","con.f.exp.u",7.85499696648142,NA,0.000483214479451909,-8.58579947369068e-05,1.12794592922034,0.361111111,-0.0241655402115732
"71",17,"3 A43","con.f.exp.u",5.83691168012845,NA,0.00231225956811532,-0.000584850104269844,1.44190487859649,0.369444444,-4.5610682721215
"72",18,"3 A45","con.f.exp.u",7.16133205077238,NA,0.0021591282527911,-0.00026237789412844,1.5157437575,0.363194444,-6.6194257293005
"73",19,"3 Bris.10","con.f.exp.u",6.37963906953527,NA,0.00111281872588623,-0.000686505210666437,1.36795572035294,0.377083333,14.6314156069354
"74",20,"3 Bris.111","con.f.exp.u",5.9642257373941,NA,0.000130493449883669,0.000116373568039459,1.45963506488136,0.376388889,0.712489868942617
"75",21,"3 Bris.112","con.f.exp.u",8.08072312205985,NA,0.000413993905930454,1.44371584972241e-05,1.47207530206897,0.373611111,-0.284095464106866
"76",22,"3 Bris.6","con.f.exp.u",9.72540378967424,NA,0.0025264107048509,-0.00034167613484852,1.4005623242069,0.371527778,-18.2801948848846
"77",23,"3 Cback.276","con.f.exp.u",8.48533507055403,NA,0.00182830855357866,-0.000297601309905228,1.35238527152542,0.4,-17.619090724865
"78",24,"3 Mid.244","con.f.exp.u",7.78068252393478,NA,0.00264569972971667,-0.000545776744167235,1.41194354721951,0.388888889,2.91979684655146
"79",25,"3 Mid.252","con.f.exp.u",8.00285293254283,NA,0.000398970927561169,-0.000152650393111943,1.36394412,0.39375,27.4947685410203
"80",26,"3 Mid.281","con.f.exp.u",7.07758052910509,NA,2.40499452217857e-05,0.000360485899909009,1.44680455536842,0.392361111,4.31762388064156
"81",27,"3 War.5","con.f.exp.u",7.85502296286773,NA,0.00071320190523075,-0.000368187111969139,1.37220044033898,0.402777778,-3.1530281366239
"82",1,"1 A45","exp.f.exp.u",16.4346680158953,-0.00120843718627046,0.00438989423973563,-0.000620305278389077,1.211312278,0.361805556,-11.8883369911337
"83",2,"1 Bris.10","exp.f.exp.u",14.1057886480437,-0.00280193737825434,0.0010880720469608,-0.000490253187232194,1.13878509083929,0.353497023589286,-1.93654085287155
"84",3,"1 Bris.112","exp.f.exp.u",12.9752598024646,-0.00220796113681649,0.000935883677080471,-0.000234518918627284,1.10486690375,0.354166667,7.15551856313889
"85",4,"1 Bris.6","exp.f.exp.u",5.89390607435983,-0.00055496758465285,0.00376287494077591,-0.000457301932749624,1.22824559792593,0.354861111,6.95922589408662
"86",5,"1 Cback.256","exp.f.exp.u",11.7118573045603,-0.00193877527306543,0.00742800520219062,-0.000837446474148319,0.9976276991,0.377777778,0.497075472086227
"87",6,"1 Dog.4","exp.f.exp.u",7.33946110708118,-0.000656025517454034,0.000489027685024123,0.000456306056823217,1.183708647,0.36875,1.4633581649699
"88",7,"1 Mid.276","exp.f.exp.u",15.0884073510014,-0.0076793043788065,0.00333398493408424,-0.000266104291893312,0.989833732898305,0.365972222,-4.28754686463991
"89",8,"1 Mid.277","exp.f.exp.u",18.4330213577053,-0.00256624815527615,0.00357778517064404,-0.000560625678324696,1.05608244710169,0.373611111,-4.76428270750126
"90",9,"1 War.5","exp.f.exp.u",14.8474854045127,-0.00120760428007536,0.000299500514412051,0.000106501632400718,1.18723608884211,0.377777778,-2.42197497493805
"91",10,"2 A45","exp.f.exp.u",14.5988833524285,-0.00109259691916629,0.00174742417577875,-0.000511137124186498,1.2272002925,0.359722222,16.0515371193236
"92",11,"2 A48","exp.f.exp.u",13.3810334898109,-0.00193469355276304,0.00334484450715356,-0.00087982668201133,1.11175550446154,0.35625,9.69588995869519
"93",12,"2 Bris.10","exp.f.exp.u",13.3779225933547,-0.00774221050332909,3.54594141689145e-05,0.0024660182944461,1.20990299162264,0.357638889,40.6292973906845
"94",13,"2 Dog.4","exp.f.exp.u",11.3715721988539,-0.00182322126479563,0.00128240061754479,-0.000439144668429128,1.16234332106667,0.359722222,24.5700971955945
"95",14,"2 Is.278","exp.f.exp.u",11.8850272944696,-0.0117415064612963,0.00185916829720662,-0.000683458385237251,1.06060503266667,0.363888889,37.8178612170532
"96",15,"2 Mid.263","exp.f.exp.u",12.3728344982745,-0.00212246963031845,0.000466301580990994,-4.00651662376574e-05,1.0843355754,0.357638889,42.2620143841274
"97",16,"2 Mid.273","exp.f.exp.u",11.7073010041371,-0.00265032883168566,8.03207125386714e-05,0.0014318733767498,1.12794592922034,0.361111111,10.5471464296522
"98",17,"3 A43","exp.f.exp.u",7.68334207171994,-0.000886783260625937,0.00256287357420693,-0.000694155286925595,1.44190487859649,0.369444444,0.971844531167029
"99",18,"3 A45","exp.f.exp.u",6.94716726388883,8.55109372673421e-05,0.00217126112006093,-0.000263190325947661,1.5157437575,0.363194444,-6.5467600790469
"100",19,"3 Bris.10","exp.f.exp.u",8.47105452947642,-0.00124269406434225,0.00109078455359698,-0.000784332621399698,1.36795572035294,0.377083333,30.1031895753712
"101",20,"3 Bris.111","exp.f.exp.u",8.72306781482662,-0.00153264527028298,4.21806417908525e-07,0.00342854453502449,1.45963506488136,0.376388889,16.9644124456796
"102",21,"3 Bris.112","exp.f.exp.u",9.10412589598008,-0.000406306424056661,0.000357716952565237,7.59180073580007e-05,1.47207530206897,0.373611111,2.45019032073197
"103",22,"3 Bris.6","exp.f.exp.u",11.8304943668695,-0.000824426008225958,0.00274457653903611,-0.000401541317744787,1.4005623242069,0.371527778,-12.6342877989046
"104",23,"3 Cback.276","exp.f.exp.u",10.9829828022821,-0.00109945617692167,0.00184489221026591,-0.000320829286709728,1.35238527152542,0.4,-8.69089475386055
"105",24,"3 Mid.244","exp.f.exp.u",9.38294391988024,-0.000625465092237963,0.0030567661553372,-0.000643653124901045,1.41194354721951,0.388888889,7.9517143729176
"106",25,"3 Mid.252","exp.f.exp.u",7.63692859606155,0.000180291609639791,0.000405380291295185,-0.000157815749486002,1.36394412,0.39375,28.0810532521624
"107",26,"3 Mid.281","exp.f.exp.u",9.69034960717485,-0.00121195670949938,1.57689729066585e-06,0.00172368692269972,1.44680455536842,0.392361111,17.926305151821
"108",27,"3 War.5","exp.f.exp.u",10.1358162662809,-0.00108593968853059,0.000894363842063912,-0.000502810637067786,1.37220044033898,0.402777778,6.78231471952124
"109",1,"1 A45","lin.f.exp.u",16.4645390140237,-0.000905687162678865,0.00424679711680499,-0.00060383198469324,1.211312278,0.361805556,-11.731520170721
"110",2,"1 Bris.10","lin.f.exp.u",14.0474729268982,-0.00160649186254001,0.00129551373775158,-0.000606017548622857,1.13878509083929,0.353497023589286,-2.37880954992739
"111",3,"1 Bris.112","lin.f.exp.u",12.9212252715721,-0.00138230157400665,0.000614407855647742,-2.26510248634886e-05,1.10486690375,0.354166667,6.7621038537322
"112",4,"1 Bris.6","lin.f.exp.u",5.89418136005252,-0.000481343712657658,0.00374838076327512,-0.000456533422032309,1.22824559792593,0.354861111,6.96485748130217
"113",5,"1 Cback.256","lin.f.exp.u",11.6011983216641,-0.00133333504283604,0.00715817609302052,-0.000805702053816385,0.9976276991,0.377777778,0.100584961054555
"114",6,"1 Dog.4","lin.f.exp.u",7.25773265681794,-0.000491965876799907,0.000496269199203473,0.000425644855628624,1.183708647,0.36875,1.38880623112891
"115",7,"1 Mid.276","lin.f.exp.u",15.0917660622136,-0.00420184546954315,0.00276995334557829,-0.000109405768140961,0.989833732898305,0.365972222,-4.116768715374
"116",8,"1 Mid.277","lin.f.exp.u",18.5401306023182,-0.00171601263917464,0.00646427011448393,-0.000872754035346724,1.05608244710169,0.373611111,-5.49516943265165
"117",9,"1 War.5","lin.f.exp.u",14.8424449085354,-0.0009142727972357,0.000260196871978396,0.000145098395720256,1.18723608884211,0.377777778,-2.47458821296062
"118",10,"2 A45","lin.f.exp.u",14.0222518017455,-0.000731450792083002,0.00183294852444451,-0.000524143744730321,1.2272002925,0.359722222,14.2450093466347
"119",11,"2 A48","lin.f.exp.u",12.8553810100696,-0.0012759046225338,0.00415498893107174,-0.00100437928085864,1.11175550446154,0.35625,9.30332333189947
"120",12,"2 Bris.10","lin.f.exp.u",13.2580630482483,-0.00503879520950438,3.45752966035046e-05,0.00248349498515018,1.20990299162264,0.357638889,40.1717772901393
"121",13,"2 Dog.4","lin.f.exp.u",10.8566169330109,-0.00112858726471736,0.00101075355979767,-0.00030460171117729,1.16234332106667,0.359722222,23.6418568417403
"122",14,"2 Is.278","lin.f.exp.u",11.8856785109899,-0.00763867387251289,0.00183256298708926,-0.000668491463514372,1.06060503266667,0.363888889,37.9209720339201
"123",15,"2 Mid.263","lin.f.exp.u",12.082247331808,-0.0014598781662319,0.00024783109928476,0.00035342609689978,1.0843355754,0.357638889,43.2967516379821
"124",16,"2 Mid.273","lin.f.exp.u",10.5059450072262,-0.00128110413587116,0.000163746865344302,0.000704276537439225,1.12794592922034,0.361111111,8.39364620738815
