bucket,sample_date,count_date,counter,juvenile_daphnia_uninf,adult_daphnia_uninf,juvenile_daphnia_inf,adult_daphnia_inf,cerio_uninf,cerio_inf,notes
8,6/27/2022,6/28/2022,JT,20,6,0,0,0,0,
40,6/27/2022,6/28/2022,JT,0,0,0,0,28,0,
17,6/27/2022,6/28/2022,JT,2,11,0,0,1,0,"1 cerio, 2 dead"
7,6/27/2022,6/28/2022,JT,59,27,0,0,0,0,12 dead
19,6/27/2022,6/28/2022,JT,15,5,0,0,0,0,2 dead
48,6/27/2022,6/28/2022,JT,0,0,0,0,14,0,1 dead
13,6/27/2022,6/28/2022,JT,30,4,0,0,0,0,
2,6/27/2022,6/28/2022,JT,5,5,0,0,0,0,
18,6/27/2022,6/28/2022,EL,4,3,0,0,0,0,
5,6/27/2022,6/28/2022,EL,26,6,0,0,0,0,5 very dead ones
44,6/27/2022,6/28/2022,EL,1,0,0,0,46,0,1 juvenile Daphnia
38,6/27/2022,6/28/2022,EL,0,0,0,0,28,0,
11,6/27/2022,6/28/2022,EL,72,20,0,0,0,0,
43,6/27/2022,6/28/2022,EL,0,0,0,0,16,0,
9,6/27/2022,6/28/2022,EL,48,8,0,0,0,0,
30,6/27/2022,6/28/2022,EL,34,5,0,0,0,0,
24,6/27/2022,6/28/2022,EL,38,9,0,0,0,0,
12,6/27/2022,6/28/2022,DCS,48,6,0,0,0,0,
22,6/27/2022,6/28/2022,DCS,33,10,0,0,0,0,
21,6/27/2022,6/28/2022,DCS,20,5,0,0,0,0,
39,6/27/2022,6/28/2022,DCS,0,0,0,0,20,0,
49,6/27/2022,6/27/2022,KS,9,7,0,0,7,0,
3,6/27/2022,6/27/2022,KS,5,10,0,0,0,0,
52,6/27/2022,6/27/2022,KS,12,14,0,0,6,0,
29,6/27/2022,6/27/2022,KS,26,16,0,0,0,0,
31,6/27/2022,6/27/2022,KS,8,3,0,0,0,0,
36,6/27/2022,6/27/2022,KS,0,0,0,0,10,0,3 dead Bosmina
20,6/27/2022,6/27/2022,KS,6,5,0,0,0,0,
33,6/27/2022,6/27/2022,KS,0,0,0,0,6,0,
62,6/27/2022,6/27/2022,KS,57,17,0,0,17,0,
14,6/27/2022,6/27/2022,KS,81,14,0,0,0,0,
32,6/27/2022,6/27/2022,KS,37,28,0,0,0,0,1 dead insect in sample with potential water mold
25,6/27/2022,6/27/2022,KS,72,28,0,0,0,0,
47,6/27/2022,6/27/2022,KS,0,0,0,0,10,0,
64,6/27/2022,6/27/2022,KS,25,8,0,0,11,0,
46,6/27/2022,6/27/2022,KS,0,0,0,0,8,0,"1 dead Bosmina, 1 dead copepod"
1,6/27/2022,6/27/2022,DCS,8,16,0,0,0,0,
4,6/27/2022,6/27/2022,DCS,4,8,0,0,0,0,
45,6/27/2022,6/27/2022,DCS,0,0,0,0,17,0,
63,6/27/2022,6/27/2022,DCS,12,13,0,0,7,0,
16,6/27/2022,6/27/2022,DCS,22,11,0,0,0,0,
15,6/27/2022,6/27/2022,DCS,22,6,0,0,0,0,
55,6/27/2022,6/27/2022,DCS,48,22,0,0,5,0,
51,6/27/2022,6/27/2022,DCS,8,3,0,0,9,0,
61,6/27/2022,6/27/2022,DCS,29,9,0,0,20,0,
23,6/27/2022,6/27/2022,DCS,45,7,0,0,0,0,
34,6/27/2022,6/27/2022,DCS,0,0,0,0,12,0,
6,6/27/2022,6/27/2022,DCS,67,26,0,0,0,0,
28,6/27/2022,6/27/2022,DCS,95,18,0,0,0,0,
57,6/27/2022,6/27/2022,DCS,45,13,0,0,2,0,
56,6/27/2022,6/27/2022,DCS,26,7,0,0,13,0,
50,6/27/2022,6/27/2022,KS,5,8,0,0,11,0,
10,6/27/2022,6/27/2022,KS,52,12,0,0,0,0,
41,6/27/2022,6/27/2022,KS,0,0,0,0,48,0,
35,6/27/2022,6/27/2022,KS,0,0,0,0,12,0,"6 dead Bosmina, 1 dead insect"
60,6/27/2022,6/27/2022,KS,83,40,0,0,7,0,
37,6/27/2022,6/27/2022,KS,0,0,0,0,24,0,
42,6/27/2022,6/27/2022,KS,0,0,0,0,31,0,
58,6/27/2022,6/27/2022,KS,22,20,0,0,9,0,
54,6/27/2022,6/27/2022,KS,39,22,0,0,17,0,
53,6/27/2022,6/27/2022,KS,23,18,0,0,14,0,
59,6/27/2022,6/27/2022,KS,45,25,0,0,26,0,
27,6/27/2022,6/27/2022,KS,31,18,0,0,0,0,
26,6/27/2022,6/27/2022,KS,71,29,0,0,0,0,
9,7/5/22,7/5/22,EL,45,0,0,0,0,0,dead bug
7,7/5/22,7/5/22,EL,41,7,0,0,0,0,
42,7/5/22,7/5/22,EL,0,0,0,0,36,0,
45,7/5/22,7/5/22,EL,0,0,0,0,15,0,
10,7/5/22,7/5/22,EL,41,3,0,0,0,0,
31,7/5/22,7/5/22,EL,30,8,0,0,0,0,
49,7/5/22,7/5/22,EL,40,7,0,0,3,0,dead bug
36,7/5/22,7/5/22,EL,0,0,0,0,23,0,
32,7/5/22,7/5/22,EL,40,11,0,0,0,0,"dead bug, 2 small dark spheres, red tick"
25,7/5/22,7/5/22,EL,0,1,0,0,0,0,
43,7/5/22,7/5/22,EL,0,0,0,0,50,0,
14,7/5/22,7/5/22,EL,39,7,0,0,0,0,"daphia egg, dead bug"
26,7/5/22,7/5/22,EL,5,2,0,0,0,0,reddish-orange D-A
20,7/5/22,7/5/22,EL,52,8,0,0,0,0,red tick thing
47,7/5/22,7/5/22,EL,0,0,0,0,41,0,
58,7/5/22,7/5/22,KS,9,5,0,0,2,0,
39,7/5/22,7/5/22,KS,2,1,0,0,20,0,Daphnia invasion ( maybe missed a spot washing watch glasses)
54,7/5/22,7/5/22,KS,14,10,0,0,0,0,should have cerio
57,7/5/22,7/5/22,KS,20,11,0,0,0,0,should have cerio
27,7/5/22,7/5/22,KS,22,6,0,0,0,0,mosquito larvae
11,7/5/22,7/5/22,KS,20,3,0,0,0,0,
21,7/5/22,7/5/22,KS,38,12,0,0,0,0,
55,7/5/22,7/5/22,KS,13,7,0,0,0,0,"Mosquito larvae, should have cerio"
37,7/5/22,7/5/22,KS,1,2,0,0,21,0,Daphnia invasion
64,7/5/22,7/5/22,KS,40,7,0,0,1,0,"mosquito larvae, Male daphnia"
1,7/5/22,7/5/22,KS,44,11,0,0,0,0,"mosquito larvae, worm thing"
28,7/5/22,7/5/22,JT,6,4,0,0,0,0,
15,7/5/22,7/5/22,JT,31,5,0,0,0,0,dead DJ
8,7/5/22,7/5/22,JT,40,5,0,0,0,0,dead DJ
2,7/5/22,7/5/22,JT,21,8,0,0,0,0,
3,7/5/22,7/5/22,JT,21,8,0,0,0,0,
17,7/5/22,7/5/22,JT,16,4,0,0,0,0,dead DJ
48,7/5/22,7/5/22,JT,0,0,0,0,18,0,
35,7/5/22,7/5/22,JT,0,0,0,0,26,0,
16,7/5/22,7/5/22,JT,27,5,0,0,0,0,dead DJ
22,7/5/22,7/5/22,JT,44,7,0,0,0,0,dead DJ x2
18,7/5/22,7/5/22,JT,31,5,0,0,0,0,
46,7/5/22,7/5/22,JT,0,0,0,0,20,0,
13,7/5/22,7/5/22,JT,50,2,0,0,0,0,dead x4
6,7/5/22,7/5/22,JT,9,7,0,0,0,0,
44,7/5/22,7/5/22,JT,0,0,0,0,20,0,"black bug eggs, or a dead bug"
24,7/5/22,7/5/22,DCS,23,3,0,0,0,0,dead moth parts?
59,7/5/22,7/5/22,DCS,5,3,0,0,2,0,
40,7/5/22,7/5/22,DCS,0,0,0,0,25,0,
53,7/5/22,7/5/22,DCS,24,6,0,0,0,0,mosquito larvae?
56,7/5/22,7/5/22,DCS,13,2,0,0,1,0,
41,7/5/22,7/5/22,DCS,0,0,0,0,60,0,
12,7/5/22,7/5/22,DCS,16,3,0,0,0,0,
23,7/5/22,7/5/22,DCS,11,0,0,0,0,0,
60,7/5/22,7/5/22,DCS,8,0,0,0,0,0,
61,7/5/22,7/5/22,DCS,51,6,0,0,2,0,
30,7/5/22,7/5/22,DCS,51,7,0,0,0,0,
5,7/5/22,7/5/22,DCS,25,8,0,0,0,0,1 larvae thing
63,7/5/22,7/5/22,DCS,36,5,0,0,1,0,1 larvae molt
62,7/5/22,7/5/22,DCS,40,9,0,0,2,0,
50,7/5/22,7/5/22,DCS,12,5,0,0,1,0,1 larvae thing
33,7/5/22,7/6/22,EL,0,0,0,0,16,0,
51,7/5/22,7/6/22,EL,43,8,0,0,3,0,dead juvinile
34,7/5/22,7/6/22,EL,0,0,0,0,17,0,dead bug x2
38,7/5/22,7/6/22,EL,0,0,0,0,30,0,dead bug
4,7/5/22,7/6/22,JT,26,3,0,0,0,0,
52,7/5/22,7/6/22,JT,24,13,0,0,7,0,
19,7/5/22,7/6/22,JT,29,7,0,0,0,0,"deadbug, 2 dead J"
29,7/5/22,7/6/22,JT,35,2,0,0,0,0,1 dead J
21,7/11/22,7/12/22,KS,37,29,0,0,0,0,
6,7/11/22,7/12/22,KS,7,9,0,0,0,0,
44,7/11/22,7/12/22,KS,2,9,0,0,257,0,Daphnia invasion
43,7/11/22,7/12/22,KS,0,0,0,0,79,0,1 dead insect larvae
10,7/11/22,7/12/22,KS,11,15,0,0,0,0,
17,7/11/22,7/12/22,KS,18,4,0,0,0,0,
11,7/11/22,7/12/22,KS,21,31,0,0,0,0,
20,7/11/22,7/12/22,KS,5,54,0,0,0,0,
9,7/11/22,7/12/22,KS,4,19,0,0,0,0,
48,7/11/22,7/12/22,KS,0,0,0,0,75,0,
33,7/11/22,7/12/22,KS,0,0,0,0,63,0,1 dead insect larvae
30,7/11/22,7/12/22,KS,20,37,0,0,0,0,2 live Alona sp.
23,7/11/22,7/11/22,DCS,13,11,0,0,0,0,
53,7/11/22,7/11/22,DCS,10,5,0,0,0,0,1 larvae thing
54,7/11/22,7/11/22,DCS,8,18,0,0,0,0,
56,7/11/22,7/11/22,DCS,8,29,0,0,6,0,
5,7/11/22,7/11/22,DCS,26,2,0,0,0,0,
2,7/11/22,7/12/22,JT,67,12,0,0,0,0,
15,7/11/22,7/12/22,JT,31,7,0,0,0,0,2 dead
4,7/11/22,7/12/22,JT,35,11,0,0,0,0,1 dead; 1 dead insect
24,7/11/22,7/12/22,JT,49,12,0,0,0,0,2 dead
28,7/11/22,7/12/22,JT,25,19,0,0,0,0,
27,7/11/22,7/12/22,JT,11,3,0,0,0,0,dead bug
19,7/11/22,7/12/22,JT,40,6,0,0,0,0,dead bug
57,7/11/22,7/12/22,JT,7,34,0,0,0,0,no cerio
25,7/11/22,7/12/22,JT,7,4,0,0,0,0,
37,7/11/22,7/12/22,JT,0,0,0,0,45,0,
16,7/11/22,7/12/22,JT,17,16,0,0,0,0,dead bug
35,7/11/22,7/12/22,JT,0,0,0,0,60,0,
31,7/11/22,7/12/22,JT,14,22,0,0,0,0,
3,7/11/22,7/12/22,JT,30,8,0,0,0,0,
47,7/11/22,7/12/22,JT,0,0,0,0,185,0,
14,7/11/22,7/12/22,JT,34,10,0,0,0,0,
12,7/11/22,7/12/22,JT,6,1,0,0,0,0,
13,7/11/22,7/12/22,JT,15,49,0,0,0,0,
42,7/11/22,7/11/22,JT,0,0,0,0,98,0,2 dead
39,7/11/22,7/11/22,JT,7,5,0,0,87,0,Daphnia invasion
26,7/11/22,7/11/22,JT,33,16,0,0,0,0,
18,7/11/22,7/11/22,KS,20,14,0,0,0,0,
7,7/11/22,7/11/22,KS,24,27,0,0,0,0,
51,7/11/22,7/11/22,KS,17,9,0,0,0,0,no cerio
60,7/11/22,7/11/22,KS,37,68,0,0,0,0,no cerio
8,7/11/22,7/11/22,KS,40,11,0,0,0,0,
46,7/11/22,7/11/22,KS,0,0,0,0,66,0,
58,7/11/22,7/11/22,KS,16,16,0,0,0,0,no cerio
59,7/11/22,7/11/22,KS,47,108,0,0,3,0,
40,7/11/22,7/11/22,KS,0,0,0,0,142,0,
55,7/11/22,7/11/22,KS,45,44,0,0,1,0,
38,7/11/22,7/11/22,KS,0,0,0,0,94,0,1 dead insect larvae
29,7/11/22,7/11/22,KS,17,57,0,0,0,,
45,7/11/22,7/11/22,KS,0,0,0,0,61,,
63,7/11/22,7/11/22,KS,26,72,0,0,11,,
52,7/11/22,7/11/22,KS,10,58,0,0,4,,insect larvae
36,7/11/22,7/11/22,KS,0,0,0,0,51,,insect larvae
62,7/11/22,7/11/22,KS,8,21,0,0,1,,
49,7/11/22,7/11/22,KS,32,14,0,0,2,,insect larvae and wasp like insect
61,7/11/22,7/11/22,KS,11,73,0,0,3,,winged insect
64,7/11/22,7/11/22,KS,14,50,0,0,3,,
50,7/11/22,7/11/22,KS,4,29,0,0,2,,insect larvae
1,7/11/22,7/11/22,KS,28,22,0,0,0,,
32,7/11/22,7/11/22,KS,22,32,0,0,0,,
41,7/11/22,7/11/22,KS,0,0,0,0,111,,
34,7/11/22,7/11/22,KS,0,0,0,0,36,,
22,7/11/22,7/11/22,KS,7,4,0,0,0,,low abundances