bucket,pool,temp,bucket position,community
2,1,15,1,D
35,1,15,2,CM
19,1,15,3,DM
51,1,15,4,DCM
49,1,15,5,DCM
3,1,15,6,D
20,1,15,7,DM
33,1,15,8,CM
34,2,15,1,CM
18,2,15,2,DM
17,2,15,3,DM
50,2,15,4,DCM
1,2,15,5,D
36,2,15,6,CM
52,2,15,7,DCM
4,2,15,8,D
48,3,var,1,CM
61,3,var,2,DCM
30,3,var,3,DM
15,3,var,4,D
32,3,var,5,DM
47,3,var,6,CM
62,3,var,7,DCM
14,3,var,8,D
16,4,var,1,D
13,4,var,2,D
46,4,var,3,CM
64,4,var,4,DCM
31,4,var,5,DM
63,4,var,6,DCM
45,4,var,7,CM
29,4,var,8,DM
56,5,20,1,DCM
38,5,20,2,CM
21,5,20,3,DM
53,5,20,4,DCM
22,5,20,5,DM
8,5,20,6,D
37,5,20,7,CM
5,5,20,8,D
12,6,25,1,D
44,6,25,2,CM
57,6,25,3,DCM
27,6,25,4,DM
42,6,25,5,CM
60,6,25,6,DCM
28,6,25,7,DM
10,6,25,8,D
54,7,20,1,DCM
40,7,20,2,CM
39,7,20,3,CM
24,7,20,4,DM
55,7,20,5,DCM
6,7,20,6,D
23,7,20,7,DM
7,7,20,8,D
59,8,25,1,DCM
26,8,25,2,DM
43,8,25,3,CM
58,8,25,4,DCM
11,8,25,5,D
25,8,25,6,DM
41,8,25,7,CM
9,8,25,8,D